"column","dtype","missing_pct","n_unique"
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Даромад йўқолиши (Ишдан бўшаш, бизнес юрмай қолиши в.б.)","integer",0,2
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Ҳуқуқий низолар пайдо бўлганда","integer",0,2
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Кутилмаган бошқа харажатлар","integer",0,2
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Бошқа қарзлар туфайли","integer",0,2
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Эсдан чиқиб қолиши","integer",0,2
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Қайтариш шарт эмас","integer",0,2
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Бошқа","integer",0,2
"1-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Кафилни","character",0,2
"2-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Турмуш ўртоғини","character",0,2
"3-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Ота-онасини","character",0,2
"4-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Вояга етган фарзандини","character",0,2
"5-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Бошқа оила аъзоларини","character",0,2
"6-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Иш берувчи ёки бирга ишловчи ходимни","character",0,2
"7-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Яқин дўстини","character",0,2
"3.6. Қарз (кредит, насия) олишдан аввал кредит шартлари, шу жумладан, фоиз тўловлари юзасидан банк ходимлари/қарз берувчи шахслар тушунтириш берганми?","character",0,4
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Даромадларим камайди","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Иш ҳақи кечиктирилди","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Бошқа қарзларга йўналтирилди","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Даромадларим мавсумий/доимий эмас","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Кредит олишда имкониятларимни нотўғри баҳоладим","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Бошқалар ҳам тўламаслигини кўриб, ман ҳам шу қарорга келдим","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Кредит тўламасам, буни ҳеч қандай салбий оқибатлари йўқ деб ўйлагандим","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Имкониятим бўлгандагина тўлашим керак деб ўйлагандим","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Кутилмаган харажатлар чиқиб қолди (касаллик ва бошқа ҳодисалар)","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Тўловларни амалга оширишда банк томонидан хатолик юз берган","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Банк шартномасида яширин шартлар бўлган","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Номимга рухсатимсиз кредит расмийлаштирилди","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Кредит ажратишдаги адолатсизлик (кредитга сотилган товар бозордан икки баробар қиммат) туфайли кредит тўламасликка қарор қилдим","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Менинг умуман кредитим бўлмаган","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Ҳар доим тўловни ўз вақтида амалга ошираман","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Жавоб беришга қийналаман (ўқилмасин)","integer",0,2
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Бошқа","integer",0,2
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Банк ташкилотлари","integer",0,2
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Яқинлардан олинган қарз","integer",0,2
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахсларга","integer",0,2
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Расмий насия бўйича қарзлар","integer",0,2
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Норасмий насия бўйича қарзлар","integer",0,2
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Микромолия ташкилотлари","integer",0,2
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?","character",0,63
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/SMS орқали эслатмалар","integer",0,2
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Телефон орқали қўнғироқлар","integer",0,2
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Банк ходимининг уйга/ишга келиши)","integer",0,2
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/МИБ ходимининг уйга/ишга келиши, боғланиши","integer",0,2
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Кафил билан боғланиш","integer",0,2
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Расмий огоҳлантириш хати юбориш","integer",0,2
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Суд жараёни","integer",0,2
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Гаров бўйича чоралар (гаровга тақиқ қўйилиши)","integer",0,2
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Умуман қўлланилмаган","integer",0,2
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/SMS орқали эслатмалар","integer",0,2
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Телефон орқали қўнғироқлар","integer",0,2
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Банк иловаси орқали эслатмалар","integer",0,2
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Мессенжерлар (Telegram/WhatsApp) орқали эслатмалар","integer",0,2
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Кафил шахснинг телефон қилиши","integer",0,2
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Шахсан (юзма-юз) тушунтириш","integer",0,2
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Бошқа вариант","integer",0,2
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Эслатмаларнинг самараси йўқ","integer",0,2
"has_loan","integer",0,2
