"column","type","dummy_block","dummy_option"
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Даромадлар кутилганидан паст бўлган","dummy","2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?","Даромадлар кутилганидан паст бўлган"
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Бизнес юрмаган (ташқи омиллар таъсир қилди, тажриба ва билим етишмаган)","dummy","2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?","Бизнес юрмаган (ташқи омиллар таъсир қилди, тажриба ва билим етишмаган)"
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Давлат кредитини қайтариш керак эмас деган фикр бўлган","dummy","2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?","Давлат кредитини қайтариш керак эмас деган фикр бўлган"
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Пулларни бизнесга эмас, истеъмолга йўналтирилган","dummy","2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?","Пулларни бизнесга эмас, истеъмолга йўналтирилган"
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Кредит шартлари нотўғри талқин қилинган","dummy","2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?","Кредит шартлари нотўғри талқин қилинган"
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Бошқа сабаб","dummy","2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?","Бошқа сабаб"
"2.7.б.1 Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?(Бошқа)","single_or_text",,
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?","single_or_text",,
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Бизнес кўникмалари бўйича ўқув/тренинглар ташкил этиш ва маслаҳатлар бериш","dummy","2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Бизнес кўникмалари бўйича ўқув","тренинглар ташкил этиш ва маслаҳатлар бериш"
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Тўлов муддатларини мослашувчан қилиб бериш","dummy","2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?","Тўлов муддатларини мослашувчан қилиб бериш"
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Кредитни босқичма-босқич ажратиш","dummy","2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?","Кредитни босқичма-босқич ажратиш"
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Бизнес режа тайёрлашда ёрдам бериш","dummy","2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?","Бизнес режа тайёрлашда ёрдам бериш"
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Назоратни кучайтириш","dummy","2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?","Назоратни кучайтириш"
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Нақд пул ва пластик карта кўринишида бериш","dummy","2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?","Нақд пул ва пластик карта кўринишида бериш"
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Бошқа","dummy","2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?","Бошқа"
"2.7.в.1 Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?  (Бошқа)","single_or_text",,
"2.8 Қарз (кредит, насия) мақсадли ишлатдингизми?","single_or_text",,
"2.8.а Агар йўқ бўлса қайси мақсадда ишлатдингиз?","single_or_text",,
"2.9. Қарз (кредит, насия) қайси кўринишда олинган?","single_or_text",,
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?","single_or_text",,
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Зарурият туфайли","dummy","2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?","Зарурият туфайли"
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Имтиёз мавжудлиги учун","dummy","2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?","Имтиёз мавжудлиги учун"
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Танишлар тавсиясига кўра","dummy","2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?","Танишлар тавсиясига кўра"
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Ҳокимият ва давлат ташкилотлари томонидан тавсия этилган","dummy","2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?","Ҳокимият ва давлат ташкилотлари томонидан тавсия этилган"
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Алданиб қолиб олганман","dummy","2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?","Алданиб қолиб олганман"
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Кредит тарихим яхшиланади деб ўйладим","dummy","2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?","Кредит тарихим яхшиланади деб ўйладим"
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Инфляциядан хавотир (келгусида маҳсулотнинг нархи ошиш хавфи)","dummy","2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?","Инфляциядан хавотир (келгусида маҳсулотнинг нархи ошиш хавфи)"
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Бошқа","dummy","2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?","Бошқа"
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди? (Бошқа)","single_or_text",,
"3.1. Атрофингиздаги одамлар қарз (кредит, насия)ларини ўз вақтида тўлаяпти деб ўйлайсизми?","single_or_text",,
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","single_or_text",,
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Иш жойида ойликни кечиктирилиши","dummy","3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","Иш жойида ойликни кечиктирилиши"
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Кредит танишлар томонидан мени номимга олинган бўлиб тўланмаса, мен тўлашим шарт эмас","dummy","3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","Кредит танишлар томонидан мени номимга олинган бўлиб тўланмаса, мен тўлашим шарт эмас"
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Фирибгарлар томонидан номимга кредит расмийлаштирилган бўлса","dummy","3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","Фирибгарлар томонидан номимга кредит расмийлаштирилган бўлса"
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Даромад йўқолиши (Ишдан бўшаш, бизнес юрмай қолиши в.б.)","dummy","3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","Даромад йўқолиши (Ишдан бўшаш, бизнес юрмай қолиши в.б.)"
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Ҳуқуқий низолар пайдо бўлганда","dummy","3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","Ҳуқуқий низолар пайдо бўлганда"
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Кутилмаган бошқа харажатлар","dummy","3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","Кутилмаган бошқа харажатлар"
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Бошқа қарзлар туфайли","dummy","3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","Бошқа қарзлар туфайли"
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Эсдан чиқиб қолиши","dummy","3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","Эсдан чиқиб қолиши"
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Қайтариш шарт эмас","dummy","3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","Қайтариш шарт эмас"
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Бошқа","dummy","3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","Бошқа"
"3.2.1. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин? (Бошқа)","single_or_text",,
"1-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Кафилни","dummy","1-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?","Кафилни"
"2-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Турмуш ўртоғини","dummy","2-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?","Турмуш ўртоғини"
"3-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Ота-онасини","dummy","3-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?","Ота-онасини"
"4-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Вояга етган фарзандини","dummy","4-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?","Вояга етган фарзандини"
"5-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Бошқа оила аъзоларини","dummy","5-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?","Бошқа оила аъзоларини"
"6-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Иш берувчи ёки бирга ишловчи ходимни","dummy","6-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?","Иш берувчи ёки бирга ишловчи ходимни"
"7-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?/Яқин дўстини","dummy","7-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?","Яқин дўстини"
"3.4. Қарз (кредит, насия) олишдан аввал тузилган шартнома билан танишганмисиз?","single_or_text",,
"3.5. Қарз (кредит, насия) олишдан аввал унинг шартлари, шу жумладан, фоиз тўловларини тўлиқ тушунганмисиз?","single_or_text",,
"3.6. Қарз (кредит, насия) олишдан аввал кредит шартлари, шу жумладан, фоиз тўловлари юзасидан банк ходимлари/қарз берувчи шахслар тушунтириш берганми?","single_or_text",,
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","single_or_text",,
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Даромадларим камайди","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Даромадларим камайди"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Иш ҳақи кечиктирилди","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Иш ҳақи кечиктирилди"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Бошқа қарзларга йўналтирилди","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Бошқа қарзларга йўналтирилди"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Даромадларим мавсумий/доимий эмас","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Даромадларим мавсумий","доимий эмас"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Кредит олишда имкониятларимни нотўғри баҳоладим","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Кредит олишда имкониятларимни нотўғри баҳоладим"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Бошқалар ҳам тўламаслигини кўриб, ман ҳам шу қарорга келдим","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Бошқалар ҳам тўламаслигини кўриб, ман ҳам шу қарорга келдим"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Кредит тўламасам, буни ҳеч қандай салбий оқибатлари йўқ деб ўйлагандим","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Кредит тўламасам, буни ҳеч қандай салбий оқибатлари йўқ деб ўйлагандим"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Имкониятим бўлгандагина тўлашим керак деб ўйлагандим","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Имкониятим бўлгандагина тўлашим керак деб ўйлагандим"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Кутилмаган харажатлар чиқиб қолди (касаллик ва бошқа ҳодисалар)","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Кутилмаган харажатлар чиқиб қолди (касаллик ва бошқа ҳодисалар)"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Тўловларни амалга оширишда банк томонидан хатолик юз берган","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Тўловларни амалга оширишда банк томонидан хатолик юз берган"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Банк шартномасида яширин шартлар бўлган","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Банк шартномасида яширин шартлар бўлган"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Номимга рухсатимсиз кредит расмийлаштирилди","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Номимга рухсатимсиз кредит расмийлаштирилди"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Кредит ажратишдаги адолатсизлик (кредитга сотилган товар бозордан икки баробар қиммат) туфайли кредит тўламасликка қарор қилдим","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Кредит ажратишдаги адолатсизлик (кредитга сотилган товар бозордан икки баробар қиммат) туфайли кредит тўламасликка қарор қилдим"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Менинг умуман кредитим бўлмаган","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Менинг умуман кредитим бўлмаган"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Ҳар доим тўловни ўз вақтида амалга ошираман","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Ҳар доим тўловни ўз вақтида амалга ошираман"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Жавоб беришга қийналаман (ўқилмасин)","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Жавоб беришга қийналаман (ўқилмасин)"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Бошқа","dummy","3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","Бошқа"
"3.7.1 Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган? (Бошқа)","single_or_text",,
"3.8. Сизнингча қарз (кредит, насия) тўловини неча кунга кечиктириш мумкин (нормал ҳолат) деб биласиз?","single_or_text",,
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?","single_or_text",,
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Банк ташкилотлари","dummy","3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?","Банк ташкилотлари"
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Яқинлардан олинган қарз","dummy","3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?","Яқинлардан олинган қарз"
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахсларга","dummy","3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?","Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахсларга"
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Расмий насия бўйича қарзлар","dummy","3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?","Расмий насия бўйича қарзлар"
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Норасмий насия бўйича қарзлар","dummy","3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?","Норасмий насия бўйича қарзлар"
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?/Микромолия ташкилотлари","dummy","3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?","Микромолия ташкилотлари"
"3.10. Қарзларингиз (кредит, насия) кўпайиб, янги кредит олишда қийинчиликка дуч келган пайтингизда, яқинларингиз номига кредит расмийлаштирганмисиз?","single_or_text",,
"3.11. Қарз (кредит, насия) тўловлари кечиктирилган вақти 1 ойда неча маротаба эслатма юборилган?","single_or_text",,
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?","single_or_text",,
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/SMS орқали эслатмалар","dummy","3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?","SMS орқали эслатмалар"
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Телефон орқали қўнғироқлар","dummy","3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?","Телефон орқали қўнғироқлар"
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Банк ходимининг уйга/ишга келиши)","dummy","3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Банк ходимининг уйга","ишга келиши)"
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/МИБ ходимининг уйга/ишга келиши, боғланиши","dummy","3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/МИБ ходимининг уйга","ишга келиши, боғланиши"
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Кафил билан боғланиш","dummy","3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?","Кафил билан боғланиш"
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Расмий огоҳлантириш хати юбориш","dummy","3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?","Расмий огоҳлантириш хати юбориш"
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Суд жараёни","dummy","3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?","Суд жараёни"
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Гаров бўйича чоралар (гаровга тақиқ қўйилиши)","dummy","3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?","Гаров бўйича чоралар (гаровга тақиқ қўйилиши)"
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Умуман қўлланилмаган","dummy","3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?","Умуман қўлланилмаган"
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?","single_or_text",,
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/SMS орқали эслатмалар","dummy","3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?","SMS орқали эслатмалар"
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Телефон орқали қўнғироқлар","dummy","3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?","Телефон орқали қўнғироқлар"
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Банк иловаси орқали эслатмалар","dummy","3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?","Банк иловаси орқали эслатмалар"
